,Nome da Estação,Ano,Latitude,Longitude,UF
0,ALAGOINHAS,22.6,-12.15,-38.43,BA
1,ALTAMIRA,25.3,-3.21,-52.21,PA
2,ALTO PARNAIBA,23.3,-9.11,-45.95,MA
3,ARACAJU,23.8,-10.95,-37.05,SE
4,ARACUAI,20.9,-16.85,-42.06,MG
5,ARAGARCAS,22.5,-15.9,-52.25,GO
6,ARAGUAINA,23.2,-7.1,-48.2,TO
7,ARAXA,18.6,-19.61,-46.95,MG
8,ARCOVERDE,20.9,-8.43,-37.06,PE
9,ARINOS,21.0,-15.92,-46.11,MG
10,AVELAR (P.DO ALFERES),19.2,-22.35,-43.42,RJ
11,BAGE,15.7,-31.31,-54.12,RS
12,BALSAS,23.3,-7.53,-46.05,MA
13,BAMBUI,19.4,-20.03,-46.01,MG
14,BARBACENA,17.2,-21.24,-43.78,MG
15,BARBALHA,22.0,-7.3,-39.27,CE
16,BARRA,20.7,-11.08,-43.14,BA
17,BARRA DO CORDA,24.0,-5.51,-45.24,MA
18,BARREIRAS,20.7,-12.16,-45.01,BA
19,BELEM,25.4,-1.44,-48.44,PA
20,BELO HORIZONTE,18.2,-19.93,-43.95,MG
21,BELTERRA,25.2,-2.64,-54.94,PA
22,BOA ESPERANCA,21.7,-18.54,-40.27,ES
23,BOM DESPACHO,19.4,-19.72,-45.37,MG
24,BOM JESUS,13.9,-28.67,-50.44,RS
25,BOM JESUS DA LAPA,21.5,-13.25,-43.41,BA
26,BOM JESUS DO PIAUI,22.2,-9.07,-44.37,PI
27,BRASILIA,17.5,-15.79,-47.93,DF
28,C. DO MATO DENTRO,19.2,-19.02,-43.43,MG
29,CABROBO,21.1,-8.5,-39.32,PE
30,CAETITE,18.0,-14.07,-42.49,BA
31,CAMETA,26.2,-2.24,-49.5,PA
32,CAMPO MOURAO,19.8,-24.09,-52.39,PR
33,CAMPOS,22.1,-21.74,-41.33,RJ
34,CAMPOS NOVOS,14.9,-27.38,-51.22,SC
35,CAPARAO,18.2,-20.53,-41.91,MG
36,CAPINOPOLIS,20.2,-18.73,-49.56,MG
37,CARACOL,20.7,-9.29,-43.32,PI
38,CARATINGA,19.8,-19.74,-42.14,MG
39,CARAVELAS,23.1,-17.74,-39.26,BA
40,CARBONITA,18.8,-17.53,-43.01,MG
41,CARINHANHA,20.3,-14.3,-43.77,BA
42,CAROLINA,23.9,-7.34,-47.46,MA
43,CASTRO,15.9,-24.79,-50.0,PR
44,CATALAO,19.5,-18.17,-47.96,GO
45,CATANDUVA,19.9,-21.12,-48.95,SP
46,CAXIAS,24.0,-4.87,-43.36,MA
47,CAXIAS DO SUL,15.0,-29.2,-51.19,RS
48,CEARA MIRIM,23.8,-5.65,-35.43,RN
49,CHAPADINHA,24.3,-3.74,-43.35,MA
