,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
25139,420136,3/12/2022,sábado,14:18:00,SC,101.0,206.2,SAO JOSE,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Sem Vítimas,Pleno dia,Decrescente,Garoa/Chuvisco,Múltipla,Reta,Sim,1,0,0,0,1,0,0,1,-27.59193546,-48.61824557,SPRF-SC,DEL01-SC,UOP01-DEL01-SC,12/03/2022 14:00:00,0.1,21.8,22.8,78.0,100.0,12.7,1.0
53014,480007,10/1/2022,sábado,8:38:00,PR,277.0,83.0,CURITIBA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Interseção de vias,Sim,2,0,1,0,1,0,1,2,-25.44629731,-49.23119545,SPRF-PR,DEL01-PR,UOP01-DEL01-PR,01/10/2022 09:00:00,0.2,13.9,14.1,94.0,100.0,5.4,1.0
21129,413367,2/6/2022,domingo,23:25:00,ES,101.0,391.0,RIO NOVO DO SUL,Animais na Pista,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Reta,Não,1,0,1,0,0,0,1,1,-20.86242099,-40.88072777,SPRF-ES,DEL03-ES,UOP02-DEL03-ES,06/02/2022 23:00:00,0.5,24.6,28.3,87.0,17.0,9.3,0.0
22678,416190,2/20/2022,domingo,23:20:00,PE,316.0,44.0,ARARIPINA,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,4,0,2,2,0,0,4,1,-7.68455688,-40.3628659,SPRF-PE,DEL05-PE,UOP02-DEL05-PE,20/02/2022 23:00:00,0.2,22.2,25.6,90.0,74.0,4.7,0.0
61703,493008,12/15/2022,quinta-feira,18:00:00,RS,392.0,27.0,RIO GRANDE,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim,3,0,2,0,0,1,2,2,-32.07415155,-52.26394823,SPRF-RS,DEL07-RS,UOP02-DEL07-RS,15/12/2022 18:00:00,0.0,23.9,22.8,67.0,53.0,25.3,1.0
32875,449235,4/17/2022,domingo,17:25:00,AL,104.0,88.0,RIO LARGO,Reação tardia ou ineficiente do condutor,Colisão transversal,Com Vítimas Fatais,Anoitecer,Decrescente,Céu Claro,Dupla,Reta,Sim,3,1,0,0,2,0,0,2,-9.48375193,-35.81815581,SPRF-AL,DEL01-AL,UOP01-DEL01-AL,17/04/2022 17:00:00,0.2,27.0,29.7,74.0,37.0,15.1,1.0
39868,459703,7/4/2022,segunda-feira,17:05:00,ES,101.0,144.0,LINHARES,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,1,-19.35188295,-40.0636685,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,04/07/2022 17:00:00,0.2,23.4,24.5,72.0,35.0,12.4,1.0
4584,444176,4/17/2022,domingo,0:10:00,MA,222.0,253.6,MIRANDA DO NORTE,Manobra de mudança de faixa,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,-3.57371589,-44.58787511,SPRF-MA,DEL01-MA,UOP02-DEL01-MA,17/04/2022 00:00:00,0.0,25.0,30.1,92.0,33.0,4.6,0.0
28044,424803,4/5/2022,terça-feira,20:20:00,PB,230.0,154.0,CAMPINA GRANDE,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Vento,Simples,Reta,Não,1,0,0,1,0,0,1,1,-7.2763,-35.8887,SPRF-PB,DEL02-PB,UOP01-DEL02-PB,05/04/2022 20:00:00,0.0,23.4,25.5,81.0,63.0,11.9,0.0
34174,451202,5/21/2022,sábado,16:30:00,PA,230.0,745.0,MEDICILANDIA,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,4,0,1,0,3,0,1,2,-3.44349282,-52.88971706,SPRF-PA,DEL04-PA,UOP01-DEL04-PA,21/05/2022 17:00:00,1.0,27.0,31.4,76.0,54.0,5.6,1.0
15124,489666,11/29/2022,terça-feira,11:30:00,PE,101.0,144.7,RIBEIRAO,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-8.45351687,-35.35716511,SPRF-PE,DEL01-PE,UOP03-DEL01-PE,29/11/2022 12:00:00,0.0,29.3,32.8,64.0,100.0,13.5,1.0
44409,466662,8/8/2022,segunda-feira,5:30:00,DF,60.0,2.0,BRASILIA,Manobra de mudança de faixa,Colisão traseira,Sem Vítimas,Amanhecer,Crescente,Céu Claro,Dupla,Não Informado,Sim,1,0,0,0,1,0,0,1,-15.887383,-48.077988,SPRF-DF,DEL01-DF,UOP02-DEL01-DF,08/08/2022 06:00:00,0.0,17.8,16.4,51.0,8.0,4.6,0.0
47963,472151,9/3/2022,sábado,23:50:00,RS,116.0,39.2,VACARIA,Desrespeitar a preferência no cruzamento,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Rotatória,Sim,3,0,0,0,3,0,0,2,-28.5120121,-50.93237991,SPRF-RS,DEL05-RS,UOP03-DEL05-RS,04/09/2022 00:00:00,0.0,2.4,-1.3,89.0,3.0,11.0,0.0
52315,479003,10/6/2022,quinta-feira,19:32:00,SP,116.0,282.1,EMBU DAS ARTES,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Múltipla,Reta,Sim,2,0,1,0,0,1,1,2,-23.68570216,-46.85970975,SPRF-SP,DEL04-SP,UOP01-DEL04-SP,06/10/2022 20:00:00,0.2,21.9,24.1,83.0,100.0,7.9,0.0
53614,480896,10/15/2022,sábado,21:30:00,ES,101.0,20.0,PEDRO CANARIO,Entrada inopinada do pedestre,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,2,0,1,0,1,0,1,1,-18.32561,-39.9584401,SPRF-ES,DEL04-ES,UOP02-DEL04-ES,15/10/2022 22:00:00,0.0,21.7,23.5,87.0,56.0,12.0,0.0
41667,462454,7/18/2022,segunda-feira,11:20:00,RJ,101.0,321.0,NITEROI,Frear bruscamente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-22.86981096,-43.11046465,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,18/07/2022 11:00:00,0.2,24.2,26.1,72.0,80.0,9.0,1.0
18686,408887,1/15/2022,sábado,21:00:00,MT,163.0,1063.0,GUARANTA DO NORTE,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-9.97099369,-54.9053409,SPRF-MT,DEL06-MT,UOP02-DEL06-MT,15/01/2022 21:00:00,0.0,25.1,29.1,84.0,31.0,7.4,0.0
21351,413757,2/8/2022,terça-feira,19:55:00,PR,376.0,115.9,ALTO PARANA,Deficiência do Sistema de Iluminação/Sinalização,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-23.100829,-52.359074,SPRF-PR,DEL09-PR,UOP02-DEL09-PR,08/02/2022 20:00:00,0.0,24.8,25.0,52.0,8.0,7.7,0.0
7140,455215,6/11/2022,sábado,12:50:00,MG,251.0,333.0,FRUTA DE LEITE,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,1,0,1,1,1,-16.25584596,-42.43923797,SPRF-MG,DEL12-MG,UOP01-DEL12-MG,11/06/2022 13:00:00,0.0,29.2,29.3,27.0,0.0,5.2,1.0
44436,466704,8/8/2022,segunda-feira,9:50:00,SC,282.0,50.0,AGUAS MORNAS,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Curva,Não,2,0,1,0,1,0,1,1,-27.708536,-48.952251,SPRF-SC,DEL01-SC,UOP03-DEL01-SC,08/08/2022 10:00:00,0.2,14.5,14.1,92.0,100.0,9.6,1.0
63224,495282,12/25/2022,domingo,21:15:00,RS,153.0,18.9,SEVERIANO DE ALMEIDA,Ingestão de álcool pelo condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,Não,2,0,1,0,1,0,1,2,-27.457563,-52.088527,SPRF-RS,DEL08-RS,UOP04-DEL08-RS,25/12/2022 21:00:00,0.5,19.0,21.5,92.0,100.0,1.9,0.0
60936,491826,12/9/2022,sexta-feira,22:00:00,SC,101.0,87.7,BARRA VELHA,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Sim,2,0,1,0,1,0,1,1,-26.63713377,-48.69651057,SPRF-SC,DEL03-SC,UOP02-DEL03-SC,09/12/2022 22:00:00,0.0,24.1,26.9,83.0,46.0,10.7,0.0
