,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
6,405221,1/1/2022,sábado,10:20:00,MG,40.0,452.2,CAETANOPOLIS,Chuva,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Desvio Temporário,Não,3,0,1,0,2,0,1,2,-19.33382121,-44.36107939,SPRF-MG,DEL02-MG,UOP01-DEL02-MG,01/01/2022 10:00:00,0.2,21.2,24.3,88.0,100.0,1.4,1.0
29,405460,1/2/2022,domingo,16:00:00,DF,60.0,15.1,BRASILIA,Chuva,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,3,0,1,0,2,0,1,2,-15.943619,-48.172115,SPRF-DF,DEL01-DF,UOP02-DEL01-DF,02/01/2022 16:00:00,0.4,21.5,21.9,80.0,80.0,17.0,1.0
72,405820,1/3/2022,segunda-feira,21:15:00,MG,381.0,236.0,SANTANA DO PARAISO,Chuva,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,3,0,2,0,1,0,2,2,-19.38800792,-42.47616714,SPRF-MG,DEL06-MG,UOP01-DEL06-MG,03/01/2022 21:00:00,0.1,22.7,26.2,91.0,29.0,6.9,0.0
175,407071,1/6/2022,quinta-feira,15:05:00,ES,262.0,39.9,DOMINGOS MARTINS,Chuva,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,5,0,0,4,1,0,4,2,-20.3802679,-40.63000864,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,06/01/2022 15:00:00,4.1,27.9,30.5,63.0,100.0,9.4,1.0
183,407127,1/6/2022,quinta-feira,17:50:00,GO,60.0,117.3,TEREZOPOLIS DE GOIAS,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Reta,Não,3,0,1,0,2,0,1,1,-16.4789,-49.0864,SPRF-GO,DEL01-GO,UOP01-DEL01-GO,06/01/2022 18:00:00,1.1,23.2,26.9,89.0,100.0,6.2,1.0
184,407128,1/6/2022,quinta-feira,18:00:00,RJ,116.0,243.0,PIRAI,Chuva,Colisão com objeto,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Reta,Sim,3,0,1,0,2,0,1,1,-22.595887,-43.954693,SPRF-RJ,DEL07-RJ,UOP01-DEL07-RJ,06/01/2022 18:00:00,6.0,22.9,26.9,94.0,100.0,6.2,1.0
187,407143,1/6/2022,quinta-feira,18:30:00,RJ,116.0,221.0,PARACAMBI,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,-22.6931486,-43.78279481,SPRF-RJ,DEL07-RJ,UOP01-DEL07-RJ,06/01/2022 19:00:00,1.8,24.3,28.5,94.0,95.0,9.8,0.0
220,407269,1/7/2022,sexta-feira,12:35:00,MT,163.0,573.0,NOVA MUTUM,Chuva,Colisão frontal,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,3,1,0,1,1,0,1,2,-14.13823325,-56.10402945,SPRF-MT,DEL01-MT,UOP01-DEL01-MT,07/01/2022 13:00:00,0.1,28.2,32.7,74.0,92.0,6.9,1.0
244,407368,1/7/2022,sexta-feira,20:30:00,GO,452.0,161.6,ITUMBIARA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Simples,Reta,Não,1,0,1,0,0,0,1,1,-18.31260078,-49.49835091,SPRF-GO,DEL03-GO,UOP02-DEL03-GO,07/01/2022 21:00:00,1.2,21.8,25.5,95.0,100.0,4.8,0.0
246,407389,1/8/2022,sábado,0:11:00,RJ,116.0,241.2,PIRAI,Chuva,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,-22.64242197,-43.89766093,SPRF-RJ,DEL07-RJ,UOP01-DEL07-RJ,08/01/2022 00:00:00,0.3,20.7,24.0,96.0,100.0,4.3,0.0
