ID,id_trecho_,vl_br,sg_uf,nm_tipo_tr,sg_tipo_tr,desc_coinc,vl_codigo,vl_km_inic,vl_km_fina,vl_extensa,vl_km_i_estim,vl_km_f_estim,vl_ext_estim,ds_sup_fed,ds_obra,ds_tipo_ad,ds_ato_leg,est_coinc,sup_est_co,ds_jurisdi,ds_superfi,ds_legenda,sg_legenda,leg_multim,versao_snv,id_versao,classificação,GEH,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,I_C,J_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D,I_D,J_D,VMDa_C,VMDa_D
1,152433,116,RS,Eixo Principal,B,-,116BRS3150,183.8,194.6,10.8,183.8,194.6,10.8,PAV,0,Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada,202301B,69,,,374,112,44,14,12,2,1,2,2129,124,344,103,40,13,11,2,1,2,2175,127,2814,2818
2,152435,116,RS,Eixo Principal,B,-,116BRS3165,214.8,230.5,15.7,214.8,230.5,15.7,PAV,0,Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada,202301B,69,Referencial,A,539,161,63,20,17,2,1,2,6839,400,396,118,46,14,13,2,1,2,6299,368,8044,7259
3,152434,116,RS,Eixo Principal,B,-,116BRS3160,194.6,214.8,20.2,194.6,214.8,20.2,PAV,0,Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada,202301B,69,,,367,110,43,13,12,2,1,2,5260,307,274,82,32,10,9,1,1,1,4901,286,6117,5597
4,156939,448,RS,Eixo Principal,B,-,448BRS0010,0.0,0.6,0.6,0.0,0.6,0.6,DUP,0,Federal,0,0,0,Federal,PAV,Duplicada,DUP,Duplicada,202301B,69,Não Simulável,,601,312,182,78,91,13,7,13,3957,165,151,78,46,20,23,3,2,3,5225,218,5419,5769
5,156362,392,RS,Eixo Principal,B,-,392BRS0130,120.7,125.0,4.3,120.7,125.0,4.3,PAV,0,Concessão Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202301B,69,,,124,8,81,2,249,153,5,71,562,30,115,8,75,2,232,142,5,66,575,30,1285,1250
6,152054,101,RS,Eixo Principal,B,-,101BRS4480,279.5,331.7,52.2,279.5,331.7,52.2,PLA,0,Estadual,0,RSC-101,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,103,8,84,3,55,34,1,16,212,11,102,8,83,3,55,34,1,16,137,7,527,446
8,154871,285,RS,Eixo Principal,B,-,285BRS0075,10.6,15.4,4.8,10.6,15.4,4.8,PAV,0,Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada,202301B,69,,,52,55,52,40,79,16,1,15,468,9,41,43,41,31,62,12,1,12,518,10,787,771
9,156363,392,RS,Eixo Principal,B,-,392BRS0150,125.0,150.3,25.3,125.0,150.3,25.3,PAV,0,Concessão Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada Concessão/Convênio,202301B,69,,,129,9,85,2,197,188,4,110,599,19,120,8,78,2,183,175,3,102,620,19,1342,1310
11,157239,471,RS,Eixo Principal,B,-,471BRS0110,238.5,300.8,62.3,238.5,300.8,62.3,PLA,0,Estadual,0,RS-471,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,59,91,55,52,49,46,1,27,682,21,52,81,48,46,43,41,1,24,629,19,1083,984
12,157238,471,RS,Eixo Principal,B,-,471BRS0102,238.2,238.5,0.3,238.2,238.5,0.3,PLA,0,Estadual,0,RS-471,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,61,94,56,54,65,45,4,12,752,8,53,82,49,47,57,39,4,11,701,7,1151,1050
13,157241,471,RS,Eixo Principal,B,-,471BRS0125,300.8,335.6,34.8,300.8,335.6,34.8,PLA,0,Estadual,0,RS-471,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,68,5,44,1,103,99,2,58,682,21,60,4,39,1,92,88,2,51,629,19,1083,985
14,157266,472,RS,Eixo Principal,B,-,472BRS0113,189.4,194.9,5.5,189.4,194.9,5.5,PLA,0,Estadual,0,RS-472,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,45,32,46,35,64,7,0,4,1140,24,49,35,50,38,70,8,0,5,1137,23,1397,1415
15,154915,287,RS,Eixo Principal,B,-,287BRS0080,91.1,99.0,7.9,91.1,99.0,7.9,PLA,0,Estadual,0,RS-287,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,729,336,169,43,65,45,4,12,4065,42,731,337,170,43,65,45,4,12,4041,42,5510,5490
22,157237,471,RS,Eixo Principal,B,-,471BRS0095,208.4,238.2,29.8,208.4,238.2,29.8,PLA,0,Estadual,0,RS-471,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,51,79,47,45,55,38,4,10,715,7,45,70,42,40,49,34,3,9,693,7,1051,992
24,154987,293,RS,Eixo Principal,B,-,293BRS0090,110.5,172.6,62.1,110.5,172.6,62.1,PAV,0,Federal,0,0,0,Federal,PAV,Pavimentada,PAV,Pavimentada,202301B,69,Referencial,A,119,73,65,45,101,79,2,20,1079,22,122,74,67,46,103,80,3,21,1050,21,1605,1587
26,152051,101,RS,Eixo Principal,B,-,101BRS4460,140.4,168.5,28.1,140.4,168.5,28.1,PLA,0,Estadual,0,RSC-101,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,74,58,51,36,73,14,0,14,285,5,68,53,47,33,67,13,0,13,219,4,610,517
27,157313,475,SC,Eixo Principal,B,-,475BSC0070,50.8,66.9,16.1,50.8,66.9,16.1,PLA,0,Estadual,0,SC-112,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202301B,69,,,263,66,6,2,1,0,0,0,1888,18,175,44,4,2,1,0,0,0,2144,21,2244,2391
